Country_code,Region_code,country,province,assigned_airport
0,0,AU,AU-ACT,CBR
0,1,AU,AU-NSW,BHQ
0,1,AU,AU-NSW,BRK
0,1,AU,AU-NSW,CAZ
0,1,AU,AU-NSW,GFF
0,1,AU,AU-NSW,BHS
0,1,AU,AU-NSW,LHG
0,1,AU,AU-NSW,OOM
0,1,AU,AU-NSW,WGE
0,1,AU,AU-NSW,WOL
0,1,AU,AU-NSW,DBO
0,1,AU,AU-NSW,MRZ
0,1,AU,AU-NSW,NAA
0,1,AU,AU-NSW,DGE
0,1,AU,AU-NSW,PKE
0,1,AU,AU-NSW,MYA
0,1,AU,AU-NSW,MIM
0,1,AU,AU-NSW,ARM
0,1,AU,AU-NSW,IVR
0,1,AU,AU-NSW,GFN
0,1,AU,AU-NSW,TRO
0,1,AU,AU-NSW,NRA
0,1,AU,AU-NSW,SYD
0,1,AU,AU-NSW,NTL
0,1,AU,AU-NSW,TMW
0,1,AU,AU-NSW,ABX
0,1,AU,AU-NSW,PQQ
0,1,AU,AU-NSW,WGA
0,1,AU,AU-NSW,LSY
0,1,AU,AU-NSW,OAG
0,1,AU,AU-NSW,CFS
0,1,AU,AU-NSW,OOL
0,2,AU,AU-NT,ASP
0,2,AU,AU-NT,AYQ
0,2,AU,AU-NT,GTE
0,2,AU,AU-NT,TCA
0,2,AU,AU-NT,KTR
0,2,AU,AU-NT,MCV
0,2,AU,AU-NT,MGT
0,2,AU,AU-NT,MNG
0,2,AU,AU-NT,GOV
0,2,AU,AU-NT,DRW
0,2,AU,AU-NT,BRT
0,2,AU,AU-NT,ELC
0,3,AU,AU-QLD,EDR
0,3,AU,AU-QLD,AUU
0,3,AU,AU-QLD,KWM
0,3,AU,AU-QLD,CUQ
0,3,AU,AU-QLD,ABM
0,3,AU,AU-QLD,IRG
0,3,AU,AU-QLD,WEI
0,3,AU,AU-QLD,BVI
0,3,AU,AU-QLD,WNR
0,3,AU,AU-QLD,XTG
0,3,AU,AU-QLD,BEU
0,3,AU,AU-QLD,BQL
0,3,AU,AU-QLD,ROK
0,3,AU,AU-QLD,ISA
0,3,AU,AU-QLD,PHQ
0,3,AU,AU-QLD,TQP
0,3,AU,AU-QLD,BUC
0,3,AU,AU-QLD,KRB
0,3,AU,AU-QLD,NTN
0,3,AU,AU-QLD,JCK
0,3,AU,AU-QLD,CTN
0,3,AU,AU-QLD,ULP
0,3,AU,AU-QLD,BKQ
0,3,AU,AU-QLD,WIN
0,3,AU,AU-QLD,LRE
0,3,AU,AU-QLD,CNS
0,3,AU,AU-QLD,DMD
0,3,AU,AU-QLD,ONG
0,3,AU,AU-QLD,RCM
0,3,AU,AU-QLD,CTL
0,3,AU,AU-QLD,HGD
0,3,AU,AU-QLD,CMA
0,3,AU,AU-QLD,BCI
0,3,AU,AU-QLD,EMD
0,3,AU,AU-QLD,MOV
0,3,AU,AU-QLD,CNJ
0,3,AU,AU-QLD,TSV
0,3,AU,AU-QLD,PPP
0,3,AU,AU-QLD,SGO
0,3,AU,AU-QLD,RMA
0,3,AU,AU-QLD,MKY
0,3,AU,AU-QLD,ZBL
0,3,AU,AU-QLD,MOO
0,3,AU,AU-QLD,WTB
0,3,AU,AU-QLD,BDB
0,3,AU,AU-QLD,GLT
0,3,AU,AU-QLD,HVB
0,3,AU,AU-QLD,MCY
0,3,AU,AU-QLD,BNE
0,3,AU,AU-QLD,BDD
0,4,AU,AU-SA,GTS
0,4,AU,AU-SA,CPD
0,4,AU,AU-SA,CED
0,4,AU,AU-SA,OLP
0,4,AU,AU-SA,WYA
0,4,AU,AU-SA,ADL
0,4,AU,AU-SA,MGB
0,4,AU,AU-SA,PLO
0,4,AU,AU-SA,KGC
0,5,AU,AU-TAS,SRN
0,5,AU,AU-TAS,HBA
0,5,AU,AU-TAS,FLS
0,5,AU,AU-TAS,BWT
0,5,AU,AU-TAS,DPO
0,5,AU,AU-TAS,LST
0,5,AU,AU-TAS,KNS
0,6,AU,AU-VIC,MQL
0,6,AU,AU-VIC,MEB
0,6,AU,AU-VIC,BXG
0,6,AU,AU-VIC,AVV
0,6,AU,AU-VIC,MEL
0,7,AU,AU-WA,BQW
0,7,AU,AU-WA,TEF
0,7,AU,AU-WA,LVO
0,7,AU,AU-WA,WME
0,7,AU,AU-WA,KGI
0,7,AU,AU-WA,LER
0,7,AU,AU-WA,LNO
0,7,AU,AU-WA,MMG
0,7,AU,AU-WA,CVQ
0,7,AU,AU-WA,MJK
0,7,AU,AU-WA,MKR
0,7,AU,AU-WA,PBO
0,7,AU,AU-WA,GET
0,7,AU,AU-WA,HCQ
0,7,AU,AU-WA,KNX
0,7,AU,AU-WA,FIZ
0,7,AU,AU-WA,TTX
0,7,AU,AU-WA,UBU
0,7,AU,AU-WA,DRB
0,7,AU,AU-WA,LEA
0,7,AU,AU-WA,EPR
0,7,AU,AU-WA,WUN
0,7,AU,AU-WA,ZNE
0,7,AU,AU-WA,BME
0,7,AU,AU-WA,PHE
0,7,AU,AU-WA,CJF
0,7,AU,AU-WA,ALH
0,7,AU,AU-WA,ONS
0,7,AU,AU-WA,BYP
0,7,AU,AU-WA,KTA
0,7,AU,AU-WA,PER
0,7,AU,AU-WA,BWB
0,7,AU,AU-WA,BQB
1,8,BN,BN-BE,BWN
1,8,BN,BN-BM,BWN
1,8,BN,BN-TE,BWN
1,8,BN,BN-TU,BWN
2,9,CN,CN-AH,TXN
2,9,CN,CN-AH,AQG
2,9,CN,CN-AH,WHA
2,9,CN,CN-AH,FUG
2,9,CN,CN-AH,HFE
2,10,CN,CN-BJ,PEK
2,10,CN,CN-BJ,PKX
2,11,CN,CN-CQ,WSK
2,11,CN,CN-CQ,WXN
2,11,CN,CN-CQ,JIQ
2,11,CN,CN-CQ,CKG
2,12,CN,CN-FJ,WUS
2,12,CN,CN-FJ,SQJ
2,12,CN,CN-FJ,LCX
2,12,CN,CN-FJ,JJN
2,12,CN,CN-FJ,FOC
2,13,CN,CN-GD,HSC
2,13,CN,CN-GD,HUZ
2,13,CN,CN-GD,CAN
2,13,CN,CN-GD,MXZ
2,13,CN,CN-GD,FUO
2,13,CN,CN-GD,ZHA
2,13,CN,CN-GD,SWA
2,13,CN,CN-GD,SZX
2,14,CN,CN-GS,DNH
2,14,CN,CN-GS,JGN
2,14,CN,CN-GS,GXH
2,14,CN,CN-GS,JIC
2,14,CN,CN-GS,YZY
2,14,CN,CN-GS,IQN
2,14,CN,CN-GS,LHW
2,14,CN,CN-GS,THQ
2,14,CN,CN-GS,LNL
2,15,CN,CN-GX,HCJ
2,15,CN,CN-GX,AEB
2,15,CN,CN-GX,KWL
2,15,CN,CN-GX,NNG
2,15,CN,CN-GX,WUZ
2,15,CN,CN-GX,LZH
2,15,CN,CN-GX,BHY
2,16,CN,CN-GZ,LLB
2,16,CN,CN-GZ,ACX
2,16,CN,CN-GZ,ZYI
2,16,CN,CN-GZ,KJH
2,16,CN,CN-GZ,AVA
2,16,CN,CN-GZ,HZH
2,16,CN,CN-GZ,WMT
2,16,CN,CN-GZ,KWE
2,16,CN,CN-GZ,BFJ
2,16,CN,CN-GZ,LPF
2,17,CN,CN-HA,NNY
2,17,CN,CN-HA,LYA
2,17,CN,CN-HA,XAI
2,17,CN,CN-HA,CGO
2,18,CN,CN-HB,HPG
2,18,CN,CN-HB,ENH
2,18,CN,CN-HB,XFN
2,18,CN,CN-HB,YIH
2,18,CN,CN-HB,WUH
2,18,CN,CN-HB,SHS
2,19,CN,CN-HE,ZQZ
2,19,CN,CN-HE,TVS
2,19,CN,CN-HE,SJW
2,19,CN,CN-HE,WDS
2,19,CN,CN-HE,HDG
2,20,CN,CN-HI,SYX
2,20,CN,CN-HI,HAK
2,21,CN,CN-HL,HEK
2,21,CN,CN-HL,OHE
2,21,CN,CN-HL,LDS
2,21,CN,CN-HL,DTU
2,21,CN,CN-HL,JSJ
2,21,CN,CN-HL,JMU
2,21,CN,CN-HL,MDG
2,21,CN,CN-HL,FYJ
2,21,CN,CN-HL,JXA
2,21,CN,CN-HL,HRB
2,21,CN,CN-HL,DQA
2,21,CN,CN-HL,NDG
2,22,CN,CN-HN,HCZ
2,22,CN,CN-HN,DYG
2,22,CN,CN-HN,HJJ
2,22,CN,CN-HN,LLF
2,22,CN,CN-HN,CSX
2,22,CN,CN-HN,CGD
2,22,CN,CN-HN,TEN
2,22,CN,CN-HN,HNY
2,23,CN,CN-JL,YNJ
2,23,CN,CN-JL,NBS
2,23,CN,CN-JL,DBC
2,23,CN,CN-JL,TNH
2,23,CN,CN-JL,CGQ
2,24,CN,CN-JS,YNZ
2,24,CN,CN-JS,NTG
2,24,CN,CN-JS,HIA
2,24,CN,CN-JS,YTY
2,24,CN,CN-JS,XUZ
2,24,CN,CN-JS,NKG
2,24,CN,CN-JS,CZX
2,24,CN,CN-JS,LYG
2,24,CN,CN-JS,WUX
2,25,CN,CN-JX,SQD
2,25,CN,CN-JX,YIC
2,25,CN,CN-JX,KHN
2,25,CN,CN-JX,JGS
2,25,CN,CN-JX,KOW
2,25,CN,CN-JX,JDZ
2,25,CN,CN-JX,JIU
2,26,CN,CN-LN,SHE
2,26,CN,CN-LN,DDG
2,26,CN,CN-LN,JNZ
2,26,CN,CN-LN,CHG
2,26,CN,CN-LN,AOG
2,26,CN,CN-LN,YKH
2,26,CN,CN-LN,DLC
2,27,CN,CN-NM,AXF
2,27,CN,CN-NM,EJN
2,27,CN,CN-NM,HLD
2,27,CN,CN-NM,JGD
2,27,CN,CN-NM,NZH
2,27,CN,CN-NM,RHT
2,27,CN,CN-NM,XIL
2,27,CN,CN-NM,YIE
2,27,CN,CN-NM,HUO
2,27,CN,CN-NM,NZL
2,27,CN,CN-NM,WUA
2,27,CN,CN-NM,ERL
2,27,CN,CN-NM,RLK
2,27,CN,CN-NM,BAV
2,27,CN,CN-NM,HLH
2,27,CN,CN-NM,HET
2,27,CN,CN-NM,UCB
2,27,CN,CN-NM,DSN
2,27,CN,CN-NM,CIF
2,27,CN,CN-NM,TGO
2,28,CN,CN-NX,ZHY
2,28,CN,CN-NX,INC
2,29,CN,CN-QH,GMQ
2,29,CN,CN-QH,GOQ
2,29,CN,CN-QH,HBQ
2,29,CN,CN-QH,HTT
2,29,CN,CN-QH,HXD
2,29,CN,CN-QH,YUS
2,29,CN,CN-QH,XNN
2,30,CN,CN-SC,AHJ
2,30,CN,CN-SC,GZG
2,30,CN,CN-SC,DCY
2,30,CN,CN-SC,JZH
2,30,CN,CN-SC,KGT
2,30,CN,CN-SC,CTU
2,30,CN,CN-SC,XIC
2,30,CN,CN-SC,MIG
2,30,CN,CN-SC,BZX
2,30,CN,CN-SC,PZI
2,30,CN,CN-SC,YBP
2,30,CN,CN-SC,GYS
2,30,CN,CN-SC,DAX
2,30,CN,CN-SC,LZO
2,30,CN,CN-SC,TFU
2,30,CN,CN-SC,NAO
2,31,CN,CN-SD,DOY
2,31,CN,CN-SD,WEF
2,31,CN,CN-SD,LYI
2,31,CN,CN-SD,YNT
2,31,CN,CN-SD,TAO
2,31,CN,CN-SD,WEH
2,31,CN,CN-SD,TNA
2,31,CN,CN-SD,JNG
2,32,CN,CN-SH,PVG
2,32,CN,CN-SH,SHA
2,33,CN,CN-SN,HZG
2,33,CN,CN-SN,ENY
2,33,CN,CN-SN,XIY
2,33,CN,CN-SN,UYN
2,33,CN,CN-SN,AKA
2,34,CN,CN-SX,TYN
2,34,CN,CN-SX,WUT
2,34,CN,CN-SX,LLV
2,34,CN,CN-SX,LFQ
2,34,CN,CN-SX,DAT
2,34,CN,CN-SX,CIH
2,34,CN,CN-SX,YCU
2,35,CN,CN-TJ,TSN
2,36,CN,CN-XJ,AAT
2,36,CN,CN-XJ,AKU
2,36,CN,CN-XJ,FYN
2,36,CN,CN-XJ,HMI
2,36,CN,CN-XJ,HTN
2,36,CN,CN-XJ,IQM
2,36,CN,CN-XJ,KCA
2,36,CN,CN-XJ,KHG
2,36,CN,CN-XJ,KRL
2,36,CN,CN-XJ,KRY
2,36,CN,CN-XJ,NLT
2,36,CN,CN-XJ,QSZ
2,36,CN,CN-XJ,RQA
2,36,CN,CN-XJ,SHF
2,36,CN,CN-XJ,TLQ
2,36,CN,CN-XJ,TWC
2,36,CN,CN-XJ,URC
2,36,CN,CN-XJ,YTW
2,36,CN,CN-XJ,KJI
2,36,CN,CN-XJ,YIN
2,36,CN,CN-XJ,BPL
2,36,CN,CN-XJ,TCG
2,37,CN,CN-XZ,NGQ
2,37,CN,CN-XZ,RKZ
2,37,CN,CN-XZ,LZY
2,37,CN,CN-XZ,LXA
2,37,CN,CN-XZ,BPX
2,38,CN,CN-YN,DIG
2,38,CN,CN-YN,SYM
2,38,CN,CN-YN,JHG
2,38,CN,CN-YN,NLH
2,38,CN,CN-YN,LJG
2,38,CN,CN-YN,TCZ
2,38,CN,CN-YN,KMG
2,38,CN,CN-YN,DLU
2,38,CN,CN-YN,BSD
2,38,CN,CN-YN,JMJ
2,38,CN,CN-YN,WNH
2,38,CN,CN-YN,LNJ
2,38,CN,CN-YN,LUM
2,38,CN,CN-YN,CWJ
2,38,CN,CN-YN,ZAT
2,39,CN,CN-ZJ,WNZ
2,39,CN,CN-ZJ,JUZ
2,39,CN,CN-ZJ,YIW
2,39,CN,CN-ZJ,HYN
2,39,CN,CN-ZJ,NGB
2,39,CN,CN-ZJ,HGH
2,39,CN,CN-ZJ,HSN
2,40,CN,CN-TW,SMT
2,40,CN,CN-TW,SMT
2,40,CN,CN-TW,CYI
2,40,CN,CN-TW,CYI
2,40,CN,CN-TW,TPE
2,40,CN,CN-TW,TPE
2,40,CN,CN-TW,TPE
2,40,CN,CN-TW,HUN
2,40,CN,CN-TW,TSA
2,40,CN,CN-TW,KHH
2,40,CN,CN-TW,RMQ
2,40,CN,CN-TW,RMQ
2,40,CN,CN-TW,HCN
2,40,CN,CN-TW,TNN
2,40,CN,CN-TW,TTT
2,41,CN,CN-HK,HKG
3,42,ID,ID-AC,TXE
3,42,ID,ID-AC,BTJ
3,42,ID,ID-AC,MEQ
3,42,ID,ID-AC,LSW
3,43,ID,ID-BB,TJQ
3,43,ID,ID-BB,PGK
3,44,ID,ID-BE,BKS
3,45,ID,ID-BT,CGK
3,46,ID,ID-GO,GTO
3,47,ID,ID-JA,DJB
3,47,ID,ID-JA,BUU
3,48,ID,ID-JB,TSY
3,48,ID,ID-JB,BDO
3,49,ID,ID-BA,BWX
3,49,ID,ID-JI,MLG
3,49,ID,ID-JI,BWX
3,49,ID,ID-JI,JBB
3,49,ID,ID-JI,SUB
3,50,ID,ID-JK,HLP
3,51,ID,ID-JT,CPF
3,51,ID,ID-JT,SOC
3,51,ID,ID-JT,PWL
3,51,ID,ID-JT,SRG
3,52,ID,ID-KB,PSU
3,52,ID,ID-KB,SQG
3,52,ID,ID-KB,KTG
3,52,ID,ID-KB,PNK
3,53,ID,ID-KI,BKM
3,53,ID,ID-KI,LNU
3,53,ID,ID-KI,TJS
3,53,ID,ID-KI,BEJ
3,53,ID,ID-KI,TRK
3,53,ID,ID-KI,NNX
3,54,ID,ID-KR,LMU
3,54,ID,ID-KR,SIQ
3,54,ID,ID-KR,BTH
3,55,ID,ID-KS,BTW
3,55,ID,ID-KS,BDJ
3,56,ID,ID-KT,PKY
3,56,ID,ID-KT,PKN
3,57,ID,ID-LA,TKG
3,58,ID,ID-MA,LUV
3,58,ID,ID-MA,NRE
3,58,ID,ID-MA,SXK
3,59,ID,ID-MU,KAZ
3,59,ID,ID-MU,LAH
3,59,ID,ID-MU,SQN
3,60,ID,ID-NB,SWQ
3,60,ID,ID-NB,LOP
3,60,ID,ID-NB,SAE
3,60,ID,ID-NB,BMU
3,61,ID,ID-NT,WGP
3,61,ID,ID-NT,ABU
3,61,ID,ID-NT,LWE
3,61,ID,ID-NT,KOE
3,61,ID,ID-NT,LBJ
3,61,ID,ID-NT,BJW
3,61,ID,ID-NT,ENE
3,61,ID,ID-NT,RTG
3,61,ID,ID-NT,MOF
3,62,ID,ID-PA,WMX
3,62,ID,ID-PA,ZRI
3,62,ID,ID-PA,DJJ
3,62,ID,ID-PA,TMH
3,62,ID,ID-PA,OKL
3,62,ID,ID-PA,DEX
3,62,ID,ID-PA,EWE
3,62,ID,ID-PA,TIM
3,62,ID,ID-PA,MKQ
3,62,ID,ID-PA,BIK
3,63,ID,ID-PB,SOQ
3,63,ID,ID-PB,BXB
3,63,ID,ID-PB,MKW
3,63,ID,ID-PB,FKQ
3,63,ID,ID-PB,KNG
3,64,ID,ID-RI,PKU
3,64,ID,ID-RI,DUM
3,65,ID,ID-SA,MDC
3,66,ID,ID-SB,KRC
3,66,ID,ID-SB,PDG
3,67,ID,ID-SG,KDI
3,67,ID,ID-SG,RAQ
3,67,ID,ID-SG,BUW
3,68,ID,ID-SN,LLO
3,68,ID,ID-SN,TTR
3,68,ID,ID-SR,TTR
3,68,ID,ID-SN,UPG
3,69,ID,ID-SS,LLJ
3,69,ID,ID-SS,PLM
3,70,ID,ID-ST,MOH
3,70,ID,ID-ST,PSJ
3,70,ID,ID-ST,OJU
3,70,ID,ID-ST,LUW
3,70,ID,ID-ST,UOL
3,70,ID,ID-ST,TLI
3,70,ID,ID-ST,PLW
3,71,ID,ID-SU,DTB
3,71,ID,ID-SU,AEG
3,71,ID,ID-SU,FLZ
3,71,ID,ID-SU,GNS
3,71,ID,ID-SU,KNO
3,72,ID,ID-YO,JOG
4,73,IN,IN-AN,IXZ
4,74,IN,IN-AP,RJA
4,74,IN,IN-AP,KJB
4,74,IN,IN-AP,CDP
4,74,IN,IN-AP,VTZ
4,74,IN,IN-AP,TIR
4,74,IN,IN-AP,VGA
4,75,IN,IN-AR,TEI
4,75,IN,IN-AR,IXT
4,76,IN,IN-AS,IXS
4,76,IN,IN-AS,JRH
4,76,IN,IN-AS,DIB
4,76,IN,IN-AS,TEZ
4,76,IN,IN-AS,GAU
4,76,IN,IN-AS,RUP
4,76,IN,IN-AS,IXI
4,77,IN,IN-BR,GAY
4,77,IN,IN-BR,PAT
4,77,IN,IN-BR,DBR
4,78,IN,IN-CT,JGB
4,78,IN,IN-CT,RPR
4,79,IN,IN-DL,DEL
4,79,IN,IN-HR,DEL
4,80,IN,IN-GA,GOI
4,81,IN,IN-GJ,BHJ
4,81,IN,IN-GJ,IXY
4,81,IN,IN-GJ,RAJ
4,81,IN,IN-GJ,AMD
4,81,IN,IN-GJ,JGA
4,81,IN,IN-GJ,BHU
4,81,IN,IN-GJ,PBD
4,81,IN,IN-GJ,IXK
4,81,IN,IN-GJ,DIU
4,81,IN,IN-GJ,BDQ
4,82,IN,IN-HP,KUU
4,82,IN,IN-HP,DHM
4,82,IN,IN-HP,SLV
4,82,IN,IN-HP,IXP
4,82,IN,IN-HP,PAB
4,83,IN,IN-JH,IXR
4,84,IN,IN-JK,IXJ
4,84,IN,IN-JK,SXR
4,85,IN,IN-KA,HBX
4,85,IN,IN-KA,IXG
4,85,IN,IN-KA,IXE
4,85,IN,IN-KA,MYQ
4,85,IN,IN-KA,VDY
